Step,Profit,Capital,Income,Wealth,Savings,Inflation,Interest,TaxRate,GovSpend,Loan,Wages,MPC,MPS
0,65.9867,1056.09,-139.363,860.637,72.1274,1.95,3,20,800,185.667,9.898,0.4,0.2
1,640.562,1600.57,77.695,938.332,87.6664,2.101,3,20,810.558,172.361,96.0844,0.4,0.2
2,520.033,2042.59,-84.1482,854.184,70.8367,2.24898,3,20,913.048,160.008,78.005,0.4,0.2
3,595.178,2548.5,26.4392,880.623,76.1245,2.394,3,20,996.253,148.541,89.2768,0.4,0.2
4,673.69,3121.13,-24.8935,855.729,71.1459,2.53612,3,20,1091.48,137.895,101.053,0.4,0.2
5,708.941,3723.73,9.70524,865.434,73.0869,2.6754,3,20,1199.27,128.013,106.341,0.4,0.2
6,797.007,4401.19,5.39158,870.826,74.1652,2.81189,3,20,1312.7,118.839,119.551,0.4,0.2
7,858.787,5131.16,17.6967,888.523,77.7046,2.94565,3,20,1440.22,110.322,128.818,0.4,0.2
8,946.509,5935.69,25.9772,914.5,82.9,3.07674,3,20.1,1183.22,102.415,141.976,0.41,0.2
9,715.299,6543.69,-40.6237,873.876,74.7753,3.2052,3,20.199,1297.37,95.0757,107.295,0.42,0.2
10,867.621,7281.17,30.3752,904.251,80.8503,3.3311,3,20.297,1384.06,88.2619,130.143,0.43,0.2
11,909.949,8054.63,-10.284,893.967,78.7935,3.45448,3,20.394,1489.72,81.9365,136.492,0.44,0.2
12,967.885,8877.33,22.0772,916.045,83.2089,3.57539,3,20.4901,1601.07,76.0644,145.183,0.45,0.2
13,1050.42,9770.19,13.7392,929.784,85.9568,3.69388,3,20.5852,1720.06,70.6131,157.563,0.46,0.2
14,1116.08,10718.9,26.9067,956.691,91.3381,3.81,3,20.6793,1849.8,65.5525,167.412,0.47,0.2
15,1204.11,11742.3,31.0471,987.738,97.5475,3.9238,3,20.7726,1988.28,60.8545,180.616,0.48,0.2
16,1288.04,12837.2,39.5713,1027.31,105.462,4.03533,4,20.8648,2138.35,56.4933,193.206,0.49,0.2
17,1383.84,14013.4,49.2961,1076.61,115.321,4.14462,5,20.9562,2299.6,51.8797,207.576,0.5,0.2
18,1485.11,15275.8,59.2725,1135.88,127.176,4.15173,6,20.9966,2061.33,47.124,222.767,0.51,0.21
19,1270.48,16355.7,-12.3419,1123.54,124.584,4.15869,7,21.0367,2217.24,42.3331,190.572,0.52,0.22
20,1444.86,17583.8,74.1646,1197.7,140.9,4.16552,8,21.0763,2350.88,37.6059,216.729,0.53,0.23
21,1530.77,18885,22.795,1220.5,146.143,4.17221,9,21.1155,2503.14,33.0305,229.615,0.54,0.24
22,1605.17,20249.4,70.9445,1291.44,163.169,4.17877,10,21.1544,2664.75,28.6815,240.776,0.55,0.25
23,1733.57,21722.9,57.9779,1349.42,177.664,4.18519,11,21.1928,2834.54,24.6183,260.035,0.56,0.26
24,1823.49,23272.9,82.6909,1432.11,199.164,4.19149,12,21.2309,3018.23,20.8845,273.523,0.57,0.27
25,1954.76,24934.4,89.3671,1521.48,223.293,4.19766,13,21.2686,3211.8,17.5082,293.214,0.58,0.28
26,2071.67,26695.3,107.836,1629.31,253.487,4.2037,14,21.3059,3419.68,14.5026,310.751,0.59,0.29
27,2210.63,28574.4,124.109,1753.42,289.478,4.20963,15,21.3428,3640.37,11.868,331.595,0.6,0.3
28,2351.39,30573.1,144.784,1898.2,332.914,4.21544,16,21.3794,3876.28,9.59328,352.709,0.61,0.31
29,2506.03,32703.2,168.282,2066.49,385.081,4.22113,17,21.4156,4127.64,7.65863,375.905,0.62,0.32
30,2669.83,34972.5,195.481,2261.97,447.635,4.22671,18,21.4515,4395.98,6.03756,400.474,0.63,0.33
31,2846.14,37391.8,227.605,2489.57,522.744,4.23217,19,21.4869,4682.33,4.69923,426.921,0.64,0.34
32,3035.3,39971.8,264.979,2754.55,612.837,4.23753,20,21.5221,4988.11,3.61058,455.295,0.65,0.35
33,3238.57,42724.6,309.34,3063.89,721.106,4.24278,21,21.5569,5314.74,2.73802,485.786,0.66,0.34
34,3457.66,45663.6,361.18,3425.07,843.907,4.24792,22,21.5913,5663.81,2.04895,518.649,0.67,0.33
35,3693.62,48803.1,420.139,3845.21,982.554,4.25296,23,21.6254,6037.08,1.51281,554.044,0.68,0.32
36,3947.47,52158.5,488.299,4333.51,1138.81,4.25791,24,21.6591,6436.46,1.10183,592.12,0.69,0.31
37,4221.62,55746.9,566.05,4899.56,1314.28,4.26275,25,21.6925,6863.96,0.791481,633.243,0.7,0.3
38,4517.22,59586.5,655.15,5554.71,1510.83,4.26749,26,21.7256,7321.84,0.560632,677.583,0.71,0.29
39,4836.86,63697.8,756.67,6311.38,1730.26,4.27214,27,21.7584,7812.54,0.391508,725.529,0.72,0.28
40,5182.38,68102.9,872.278,7183.66,1974.5,4.2767,28,21.7908,8338.75,0.269488,777.357,0.73,0.27
41,5556.49,72825.9,1003.5,8187.15,2245.45,4.28117,29,21.8229,8903.39,0.182803,833.473,0.74,0.26
42,5961.71,77893.3,1152.09,9339.24,2544.99,4.28554,30,21.8546,9509.68,0.122173,894.257,0.75,0.25
43,6401.07,83334.2,1319.86,10659.1,2874.95,4.28983,31,21.8861,10161.1,0.0804307,960.16,0.76,0.24
44,6877.71,89180.3,1508.71,12167.8,3237.04,4.29403,32,21.9172,10861.6,0.0521459,1031.66,0.77,0.23
45,7395.11,95466.1,1720.63,13888.4,3632.79,4.29815,33,21.9481,11615.3,0.0332865,1109.27,0.78,0.22
46,7957.03,102230,1957.62,15846.1,4063.47,4.30219,34,21.9786,12426.9,0.020915,1193.55,0.79,0.21
